0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0
154,0,1,1,5,15,16,16,16,0
205,16,16,16,16,18,20,20,20,0
257,20,20,20,22,22,23,23,23,0
310,23,23,23,23,30,31,31,31,0
364,31,31,31,33,34,39,39,39,0
415,39,39,41,47,52,58,59,59,0
466,59,59,60,60,60,65,65,65,4
518,65,65,66,70,70,75,75,75,4
570,75,75,76,80,82,82,82,82,4
621,82,82,82,86,86,80,80,81,4
673,81,81,81,83,92,91,90,90,4
727,90,90,90,90,94,95,94,94,4
780,94,95,95,97,106,100,99,99,4
833,99,99,99,101,102,101,96,96,4
885,96,96,96,96,101,96,92,91,4
943,91,91,91,91,95,96,92,92,4
1025,92,92,92,92,89,90,86,86,4
1092,86,86,86,87,90,89,89,89,4
1147,89,89,89,91,88,88,84,83,4
1199,82,82,82,86,87,81,81,81,4
1249,81,81,81,81,81,75,74,74,4
1301,74,74,74,74,72,63,63,63,4
1355,63,63,63,63,61,58,58,58,4
1410,58,58,58,58,57,48,48,47,4
1466,47,47,47,47,45,42,41,41,0
1517,41,41,41,41,41,41,39,39,0
1582,39,39,39,39,37,30,30,30,0
1634,30,30,30,29,25,24,19,19,0
1688,19,19,19,19,15,12,9,9,0
1740,9,9,9,9,9,8,8,8,0
1794,8,8,8,8,7,7,7,7,0
1846,7,7,7,7,7,7,7,7,0
1898,7,7,7,7,7,7,6,6,0
1955,6,6,6,6,6,6,5,5,0
2006,5,5,5,5,5,5,5,5,0
2058,5,5,5,5,5,5,5,5,0
2116,5,5,5,5,6,7,7,7,0
2168,7,7,8,8,17,21,21,21,0
2226,21,21,21,21,21,21,21,21,0
2278,21,21,21,22,25,27,27,27,0
2329,27,27,27,29,36,36,36,36,0
2381,36,37,38,42,48,48,48,48,4
2437,48,48,48,48,51,51,51,51,4
2493,51,51,51,53,54,55,55,55,4
2547,55,55,55,56,63,65,65,65,4
2603,65,65,66,69,70,75,75,75,4
2654,75,75,75,74,74,67,63,63,4
2712,63,63,63,64,66,66,66,66,4
2764,66,66,66,69,71,69,67,67,4
2816,67,67,67,69,69,64,64,64,4
2869,64,64,64,64,65,59,59,59,4
2927,59,59,60,60,62,60,60,60,4
2984,60,60,60,63,69,69,67,67,4
3042,67,67,67,67,72,65,63,63,4
3093,63,63,63,64,62,62,56,56,4
3145,56,56,56,57,59,59,57,57,4
3197,57,57,57,59,63,64,64,64,4
3249,64,64,64,66,74,74,74,74,4
3304,74,74,74,74,74,72,71,71,4
3360,71,71,71,71,71,66,66,66,4
3411,67,67,67,66,66,66,66,70,4
3464,70,70,70,70,66,58,57,57,4
3515,57,57,57,57,57,51,51,51,0
3569,51,51,51,51,48,47,45,45,0
3623,44,44,44,44,43,40,39,39,0
3677,39,39,39,39,37,31,27,27,0
3729,27,27,27,27,25,13,10,10,0
3780,10,10,10,10,10,8,8,8,0
3835,8,8,8,8,8,7,7,7,0
3889,7,6,6,6,6,6,3,2,0
3945,-2,-2,-2,-2,-2,-2,-2,-2,0
3996,-3,-3,-3,-3,-3,-3,-3,-3,0
4050,-3,-3,-3,-3,-3,-3,-3,-3,0
4102,-3,-3,-3,-3,-3,-3,-3,-3,0
4154,-3,-3,-3,-3,1,2,2,2,0
4205,2,2,2,2,2,2,2,2,0
4260,2,2,2,6,7,9,9,9,0
4315,9,9,10,20,32,39,39,39,0
4367,39,39,40,46,49,49,49,49,4
4418,49,49,49,49,50,51,51,51,4
4473,51,51,53,62,67,72,72,72,4
4526,72,72,72,73,78,82,82,82,4
4577,82,82,82,84,89,89,89,89,4
4632,89,89,89,91,96,95,94,94,4
4688,94,94,95,95,95,95,95,96,4
4741,96,96,96,101,104,103,102,102,4
4792,102,102,102,102,93,82,75,75,4
4845,75,75,75,76,70,68,68,68,4
4897,68,68,68,72,72,71,70,70,4
4953,70,70,70,70,65,63,58,58,4
5009,58,58,58,58,58,54,50,50,4
5066,50,50,50,50,48,45,44,44,4
5118,44,44,44,44,45,41,39,39,4
5169,39,39,39,45,51,52,52,52,4
5221,52,52,52,53,49,42,42,42,4
5278,42,42,42,42,42,42,42,42,4
5334,42,42,42,42,40,40,40,40,4
5386,40,40,40,40,35,35,35,35,0
5444,35,35,35,35,34,30,27,27,0
5501,27,27,27,27,27,26,26,26,0
5552,26,26,26,26,26,26,25,25,0
5603,25,25,25,25,25,21,20,20,0
5658,20,20,20,20,13,5,3,3,0
5711,3,3,3,3,2,2,2,2,0
5763,2,2,2,2,2,1,1,1,0
5816,1,1,1,1,2,2,2,2,0
5867,2,2,2,2,2,2,1,1,0
5922,1,1,1,1,1,1,1,1,0
5974,1,1,1,1,2,2,2,2,0
6026,2,2,2,2,2,3,3,3,0
6080,3,3,3,3,3,4,4,4,0
6134,4,4,4,4,4,4,4,4,0
6189,4,4,4,5,6,6,6,6,0
6245,6,6,6,6,11,11,11,11,0
6296,11,11,12,14,19,19,19,19,0
6347,19,19,19,21,29,29,29,29,4
