0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0
156,3.6,0.4,0.1,0.1,0.7,0.1,0.7,1.5,0
208,5.5,0.5,0.1,0.3,0.9,0.7,2.3,2.9,0
260,7,0.6,0.4,0.3,1.7,1.6,7.1,3,0
312,12.2,1.4,0.4,0.3,2.8,2.6,8.1,7.3,0
364,14.6,2.9,0.8,0.5,3.7,4.2,18.2,10.1,0
417,22.1,3.7,1.2,2.9,10.6,5,23.5,15.6,0
469,26.4,4.9,1.6,3.3,13.5,5.4,24.5,26.3,0
522,28.7,5,2.4,3.6,13.5,7.3,24.6,26.7,3
574,36.5,5.3,3,5.9,17.6,10.1,30.9,29.9,3
626,49.1,5.3,4.6,8.4,20.1,15.9,33.6,31.5,3
679,50.8,5.2,5,8.3,19.9,16.8,37.4,38,3
735,58.9,5.6,5.7,9.3,21.2,16.6,36.5,39.9,3
792,60.2,6.2,5.8,10.2,20.7,15.9,38.9,46.9,3
844,57.5,6.1,5.9,10.9,21.2,17.8,38.1,44.1,3
898,58.7,4.9,5.7,11.2,21.9,16.9,31.7,41.9,3
951,53.1,4.9,5.7,10.1,18.1,16.4,28.2,37.3,3
1025,59.2,5.6,5.4,12,16.7,16,28.6,30.7,3
1079,65.5,7,4.7,12.3,17.8,14.9,29.2,36.7,3
1133,60.4,7.2,4.2,11.2,14.5,13.5,27.1,36.2,3
1190,53.1,7.2,2.7,8.7,12.3,7.8,25.3,36.8,3
1242,48.9,6.9,2.4,8.8,12.2,6.9,21.5,29.5,3
1294,39.4,7.6,1.7,12.1,12.4,6.8,21.2,26.7,3
1345,37,7.3,1.4,11.6,12.7,7,14.2,20,3
1397,34.5,6.7,1.3,11.3,11.3,4.1,14.1,18.8,0
1448,31,6.4,1.1,10.9,10.8,4.2,10.5,18.2,0
1499,29.1,5.7,0.7,10.3,8.3,4.1,8.8,17.5,0
1550,18.9,3.9,0.7,8,7.5,4.7,7.5,13.6,0
1606,10.4,2.4,0.7,7.6,6.7,4,6.9,7.2,0
1657,7.8,2,0.6,6.5,6.1,2.8,2.7,4.5,0
1709,2.8,2,0.6,6.8,6,2.9,1.8,2.3,0
1760,1.8,2.2,0.4,6.8,6.1,3.1,1.3,1.6,0
1812,2.3,1.2,0.4,2.4,4.8,3.1,2.2,5,0
1865,2.5,0.8,0.4,2.3,5,3.3,2.2,6,0
1917,6,1.2,0.6,1.9,5.6,4.1,3.3,7.9,0
1968,6,1.2,0.7,2,5,3.5,3.8,9,0
2023,7.8,1.5,0.7,1.3,4.7,4,7.2,9.7,0
2078,8.2,1.5,0.7,1.3,4.4,3.6,8.1,10,0
2129,10.6,2,0.7,1.2,4.7,4.7,12.7,16.8,0
2180,11.4,2.6,1,1.2,5.2,6.2,20.9,24.8,0
2231,16.6,4.8,1.2,1.5,5.8,7.2,26,30.7,0
2282,29.2,4.7,1.9,1.9,7.4,7.7,26.2,31.6,0
2334,31.9,6.2,2.3,2.2,7.2,8.7,31.3,34.9,3
2389,44,7,2.7,3.1,10.2,10.1,32,37.4,3
2440,51,8.4,2.6,3.2,11.8,12.3,38.7,40.5,3
2494,63.7,10.2,3,3,11.4,12.4,40.4,41.7,3
2547,62.6,10.2,3.2,3.9,14.9,14.4,38.2,43.2,3
2601,72.8,10.2,3.1,4,15.8,14.9,40.1,43.4,3
2656,79.2,10.1,3.8,6,15.7,14.4,44.2,44.3,3
2707,78.5,9.6,3.7,6.2,15.3,13.6,36.7,36.6,3
2760,82.3,8,3.4,6.9,17.4,14.1,38.6,34.1,3
2814,70.1,8,3.4,6.9,16,14.8,39.6,34.3,3
2868,68.4,7.5,4.1,9.3,17.3,15,38.6,29.5,3
2924,58.4,8.7,4,8.3,14.9,13.6,39,28.4,3
2976,48.3,6.8,3.9,9.1,13.7,11,31.9,25.4,3
3032,36.8,5.5,3.4,9.7,14.7,10.9,31.9,25.1,3
3084,36.2,5.1,3.5,9.3,12.1,8.2,31.3,23,3
3138,29.7,5.1,3.6,9.3,11.9,7.6,30.5,25.3,3
3192,26,5.4,2.8,7.7,12.4,7.3,22.4,19.5,3
3244,29.1,5.5,3.1,8.1,13,7.4,22.5,19.8,3
3295,20.9,5.9,3.5,7.6,10.4,5.8,16,16.7,3
3349,21.9,6.1,2.9,7.2,10.6,5.1,15.1,15.9,3
3405,20.9,5.5,2.4,5.2,10.6,3.7,9.7,13.5,3
3459,18.6,3.6,2.1,5.2,10.5,3.1,8.5,10.9,3
3510,18.4,3.6,2.2,4.3,9.8,2.8,7.7,8.7,3
3562,17.1,3.2,2.3,3.8,8.8,2.6,5.4,6.8,0
3614,17.1,3.4,2.1,3.5,8.1,3,4.8,6.5,0
3664,12.9,3.5,2.1,3.7,7.9,3.1,2.8,3.7,0
3718,7.8,2.9,2.5,3.5,7.9,3.1,2.4,1.9,0
3773,4.9,2.7,2.1,2.8,7.2,2.3,2.3,1.5,0
3827,3.9,1.8,1.9,2.3,7.4,2.6,2,1.4,0
3881,3.4,1.5,1.9,2.2,7,1.8,2,2.5,0
3935,3.4,1.1,1.5,1.7,6,1.7,3.1,3.5,0
3987,3,1.1,1.4,2.2,5.7,2.5,4.5,4.5,0
4038,3.3,1.3,1.5,2.4,5.8,3.6,5.4,4.5,0
4092,3.5,1.3,1.5,2.3,6.7,3.7,8.5,6,0
4145,4.8,1.3,1.7,2.2,6.3,3.5,9.5,7.5,0
