0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0
153,0.4,0.2,0.3,0.8,0.8,0.1,2.2,0.4,0
206,1.4,0.6,0.6,1.6,2.5,0.6,3.7,0.5,0
258,1.6,0.6,0.7,2.3,4.8,1.9,5.1,1.7,0
315,3.6,0.6,0.9,3,5.7,2.6,11.3,1.9,0
366,5.5,0.7,1.5,6.6,5.8,2.7,18.7,4.1,0
418,8,1.4,1.8,7.5,13.2,4.3,19,6,0
469,10.9,2.3,3.2,13.6,16.4,7.5,23.2,14.2,0
521,12.5,2.7,3.7,15.7,17.2,8.9,25.5,16.4,2
575,12.8,2.7,4.2,23.7,17.6,9,31.6,19.1,2
627,13.5,3.2,4.9,30.7,24.8,9.3,34.4,19.4,2
677,15.2,3.4,4.6,31.8,27.8,11.1,38.9,22,2
732,14.2,3.3,5,39.9,36.1,11,37.9,22.6,2
784,14.1,3.4,5.5,41.5,34.2,10.6,37.3,22.6,2
836,12.9,3.7,5.5,42.2,35.3,12.5,37.6,25.6,2
888,11.8,4.3,6,39.1,38.4,12.9,30.7,23.6,2
940,10.1,3.7,5.8,39.4,38,13,31,23.7,2
1021,9,3.5,4.8,38,35.1,10.7,32.3,18.4,2
1087,7.5,3.3,4.8,36.3,38.3,9.5,30.5,16.6,2
1140,7.8,3.5,4.5,30.9,40.5,10.2,28.7,16.6,2
1193,7.1,3.1,3.9,25,35.1,9.9,26.4,16.8,2
1247,5,2.8,4.1,23.4,31.7,8.3,20.8,13.8,2
1299,5,2.5,3.4,14.9,22.4,8,20.3,13.3,2
1353,5,2.6,2.9,12.6,22.2,7.2,19.6,12.2,0
1405,4.2,2.3,2.8,11.4,20.2,4.7,13.3,9,0
1457,3.6,1.9,2,11.4,17.7,4.7,13.2,9.1,0
1516,3.1,2,2.1,10.5,11.6,3.2,12.6,7.3,0
1568,1.3,1.6,2,5.9,12.1,2.9,8.1,4.4,0
1620,3.1,1.4,1.6,6,8.5,2.8,7.7,4.4,0
1679,2.8,1.4,1.5,3.6,6.5,2.4,4,2.1,0
1738,3.2,1.5,1.4,2.9,11.9,2.9,4.3,1.8,0
1790,3.4,1.5,1.3,3.5,13.8,3.2,3.9,2.2,0
1850,3.7,1.9,1.5,3.6,13.2,5,5,2.3,0
1910,3.6,1.9,1.6,7,16,5.6,6.4,2.4,0
1969,3.7,2.2,1.6,7.4,16.5,6,13.5,2.7,0
2021,3.8,2.9,2.8,9.5,19.4,6.5,21,4.2,0
2080,5.8,2.9,2.9,10.9,21.1,7.1,22.3,5,0
2132,7.2,2.9,2.9,12.3,23.5,6.7,25.1,8.3,2
2192,6.6,3,3.5,15.1,23.8,7.2,25.3,11.2,2
2244,6.6,2.9,4.1,19.6,26.3,10.8,32.5,12.3,2
2298,7,3,5.3,23.3,19.9,10.5,34.5,12.8,2
2352,7.8,3.2,5.9,23.4,21.1,12.4,35.5,12.8,2
2417,7.9,3.2,6.7,29.5,25.2,11.8,36.9,15.8,2
2471,8,3.5,7.5,29.9,22.9,12,37.4,18,2
2525,8.1,3.5,8,32.4,29.7,13.7,33.1,18.6,2
2578,8.3,2.9,6.9,31,31,14.7,28.7,17.3,2
2639,6.5,3,7.5,29.5,28.9,15.1,32.7,19.9,2
2692,5.9,3.5,8.6,30.8,25.9,16.4,32.9,20.4,2
2753,5.5,3.5,8.5,29.4,28.3,16.9,33.2,22.8,2
2806,5.3,3.5,8.3,24.7,25.6,12.9,30.3,22.5,2
2867,4.6,3.8,8.4,20.9,26.8,12.9,33.3,24.3,2
2922,3.9,3.7,7.8,21.3,23.7,10.6,33.4,24.6,2
2982,3.8,3.6,7.1,14.8,19.5,9.6,31.1,21.4,2
3036,3.8,3.2,6.4,11,19.1,9,29.5,19.1,0
3095,3.6,3,5.8,7.9,11.9,7,26.6,18.3,0
3156,3.3,2.8,5.6,6.7,7.2,5.1,23.7,19.2,0
3214,3.1,2.7,4.8,6.6,6.8,4.2,18.5,15.8,0
3266,2.4,2,3.4,4.2,6.8,2.9,14.7,12.8,0
3317,1.5,2.2,3,2.3,4,1.8,14.4,7.1,0
3373,1.4,2.2,3.1,5.4,5,2.8,9.8,6.2,0
3430,1.5,1.7,2.1,6.1,3,3,4.8,3.7,0
3481,1.4,1.6,2.3,5.8,4.8,2.8,4.7,3,0
3537,1.2,1.4,2,6.1,5.3,2.8,4.7,3.7,0
3592,1.2,1.3,1.7,6.3,5,2.5,5.1,3.8,0
3644,1.3,1.2,2,6.8,5.7,2.5,5.7,4.2,0
3695,1.1,1.1,1.8,7.5,5.7,2.6,10.2,3,0
3746,0.9,1.1,1.8,7.9,7.2,3.1,10.8,3.1,0
3797,0.9,1.4,2.2,9.5,10.7,3.6,10.6,3.7,0
3848,1,1.2,2.5,10.5,14.8,4.7,16.4,3.9,0
3901,1.8,1.6,2.7,8.9,15.4,4.8,18.7,3.7,0
3966,1.9,2.5,4.5,17.5,16,6.4,19.5,6.9,0
4018,3.8,2.5,4.3,23,14,10.8,18,11.3,2
4073,4.7,3.1,5.9,26.9,21,12,21.1,11.4,2
4129,6,3.4,6.7,28.1,22.3,13.7,24.9,11.8,2
4181,6,3.6,6.9,31.7,24.5,17.9,26.8,11.7,2
4237,8.8,3.7,7,33.7,26.5,18.6,24,12.9,2
4292,9,4,8,37.4,25.7,17.9,24.2,13.4,2
4345,8.9,4,7.8,35.8,23.9,18.2,26.3,12.4,2
