millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
6614,77,5,-4,-4,-15,-17,-50,10,3
6666,16,-23,-1,7,-28,-15,-32,-58,3
6722,-115,-5,-2,-3,8,17,29,68,3
6774,41,5,-7,-14,-16,-12,-36,-12,3
6826,-20,-4,-4,-12,-28,-13,17,-16,3
6879,-9,0,-3,-2,-1,-7,54,-14,3
6933,71,15,6,13,5,10,15,-25,3
6988,16,-3,0,2,18,16,-18,8,3
7039,44,-4,-1,1,6,-4,-9,-2,3
7095,31,10,1,10,27,12,29,-12,3
7150,0,1,-1,-2,-6,-6,0,-21,3
7205,-4,2,-1,-3,-1,0,1,-4,3
7257,1,-6,0,0,-3,-4,-3,-3,3
7308,3,-4,-4,-3,0,-2,0,0,0
7359,-5,2,-1,2,-5,-2,-1,-2,0
7410,-1,2,7,44,69,8,2,0,0
7461,-12,1,-1,-7,-12,-4,-1,1,0
7515,3,-2,-3,-8,-11,-4,0,-2,0
7569,0,-2,-2,-11,2,0,-2,-2,0
7623,0,-1,-2,-9,-14,-5,-5,-2,0
7676,2,-1,-3,-6,-16,-4,-3,-1,0
7730,-9,1,-1,-6,-11,-1,-1,0,0
7782,8,1,-1,5,3,2,1,-2,0
7834,2,1,0,6,0,-4,-2,2,0
7890,-1,-1,-3,-7,-2,0,1,-1,0
7941,2,-2,-3,-6,-12,-10,-12,-44,0
7993,-9,-1,-1,-7,-10,-2,11,9,0
8044,-2,-2,-3,-1,6,4,21,2,0
8097,-4,-1,0,3,7,3,15,-2,0
8147,3,-4,-4,-5,-22,-8,-19,-14,0
8199,-36,-5,2,2,29,17,-19,-57,0
8254,-21,-1,-2,-3,2,5,26,-5,0
8305,20,1,-3,-3,12,13,3,-7,0
8356,31,-4,1,4,-1,11,14,-61,0
8409,-39,1,1,5,19,13,-42,37,3
8461,-23,8,-4,0,9,19,-12,-40,3
8513,56,-1,3,8,-4,2,-15,-35,3
8564,68,-2,-4,8,12,2,-66,-25,3
8616,16,-4,1,3,19,12,22,-9,3
8670,-89,-2,-2,4,2,-6,-69,-25,3
8724,78,13,-2,9,13,-16,-6,19,3
8775,93,-17,-4,-5,-11,-4,24,-5,3
8827,19,3,0,-5,3,-10,-5,14,3
8879,12,-28,-12,-19,-46,-51,25,11,3
8932,22,4,2,1,3,17,41,27,3
8987,-71,-4,-4,-10,-20,-36,14,41,3
9039,82,-1,-1,-7,-4,0,31,-2,3
9095,-8,-1,0,0,-3,1,-17,1,3
9149,-5,-25,-1,6,-4,2,-1,-1,3
9200,-1,-2,0,-1,-3,-3,-6,-1,3
9255,-1,0,-2,-3,-9,-1,-1,2,0
9306,-3,-1,-4,-4,-11,0,-2,-2,0
9356,-2,-1,-3,-1,1,-3,0,-3,0
9409,-1,-1,-2,-4,-14,-3,-1,-1,0
9460,-2,-3,-1,-1,-8,-4,0,-2,0
9510,0,-2,0,-1,0,-1,1,-1,0
9562,1,-1,-1,-1,-6,0,0,0,0
9615,-1,0,-3,-1,2,-3,-2,0,0
9666,-1,2,0,-6,-5,-2,-3,-2,0
9721,-2,-2,-2,-4,-10,-2,-1,-1,0
