millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
7924,-2,-1,7,6,10,-8,-1,-3,4
7990,-1,-1,-1,-16,-54,-8,-4,-2,4
8056,0,0,1,-41,-26,-1,-3,-1,4
8123,0,2,17,78,20,-20,-1,-3,4
8189,-1,-4,-11,-13,-16,-7,-1,1,4
8254,-1,-1,-3,32,60,14,2,0,4
8323,-3,-2,-13,-28,-19,4,0,-1,4
8386,-2,-3,-2,7,-20,-1,-3,-2,4
8446,-2,-1,-6,13,-17,3,2,1,4
8524,0,0,-3,-11,-7,-1,1,1,0
8584,-2,-2,-2,-1,2,0,0,-1,0
8642,-6,-2,-2,0,2,-2,0,-3,0
8702,-1,1,-1,-2,2,2,7,13,0
8772,5,1,-3,-5,-3,0,5,-16,0
8844,-4,0,-3,-2,-1,-2,-6,-1,0
8914,-1,-1,-2,-1,0,0,0,-3,0
8987,-3,-2,-2,-2,0,-3,-2,-2,0
9051,-1,-1,-1,-1,1,-1,-1,-2,0
9109,-2,-1,0,-1,-1,0,0,-3,0
9167,0,1,-1,-5,-4,1,1,1,0
9227,-3,0,0,-2,0,4,14,2,0
9298,1,2,6,4,-3,-4,-1,1,0
9370,-1,-2,-1,-1,1,5,-1,-1,0
9438,1,-1,-8,-1,-12,-3,-3,-1,0
9494,-1,-3,1,84,21,-3,-4,0,0
9552,-1,2,5,-26,-48,0,-2,-2,0
9612,-2,-2,-2,-8,-46,-26,-3,-3,0
9684,0,2,4,9,12,-6,-2,0,0
9748,0,-2,-6,-17,-22,-19,-9,-3,0
9804,1,6,25,64,12,20,5,1,0
9863,2,4,26,1,-11,-22,-1,-1,4
9930,0,2,4,4,-50,-8,-3,-2,4
9996,-1,-2,16,3,-121,-2,-2,-1,4
10062,-3,-7,-27,-6,-31,38,0,-2,4
10129,0,3,16,-2,9,-7,-1,0,4
10196,-1,-3,-6,-28,1,1,-1,-3,4
10261,-3,-2,8,-11,-70,-8,-1,0,4
10327,-1,0,7,9,-32,-9,-3,-1,4
10394,1,5,33,-17,-28,-15,1,-1,4
