0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0
154,0.2,0.2,0.1,0.1,0.3,0,0.4,0.4,0
205,0.3,0.4,0.3,0.1,0.3,0.1,0.4,0.4,0
257,0.5,0.5,0.4,0.2,1.5,2.2,0.9,0.5,0
309,0.6,0.6,0.4,1,2.6,2.3,1.7,1,0
362,0.8,0.7,0.4,1.3,2.9,3.9,2,1.2,0
416,0.8,0.8,0.7,1.5,3.3,4.8,2,1.2,0
468,1.1,1,0.9,3.1,4.5,6,3.1,1.5,0
521,1.7,1.4,1.1,3.4,4.9,6.2,3.9,1.8,0
575,2.7,1.5,1.5,4,10.7,6.6,5,3.2,0
627,2.8,2.1,2.4,5.4,11.3,6.6,5.5,3.4,0
680,4.5,2.3,2.7,6.2,18.8,11.9,5.2,9.7,0
733,4.9,2.1,2.8,10.6,22.5,23.3,10.2,12.2,0
793,4.8,2.2,4.5,14,23.4,32.4,11.7,16,1
845,7.1,2.8,5.3,15.2,26.2,34.9,20.7,18.1,1
898,7.4,3.4,6.3,17.2,28.4,36.2,22,23.6,1
950,10.8,3.5,6.3,19.2,30.9,47.2,23.4,23.7,1
1010,10.6,3.4,6.3,19,40.1,53.8,23.9,23.5,1
1098,10.4,3.5,7.4,19.3,41.7,60.7,24.2,27.3,1
1149,12.2,4.5,7.7,22,40.5,60.7,25.3,27.3,1
1203,12.5,4.5,7.4,21.4,45.6,73.5,27.5,28.1,1
1254,11.5,4.6,7.4,22.7,41.5,70.3,29.8,24.8,1
1314,11,4.8,8.6,21.6,46.1,59.2,24.9,26.5,1
1367,11.2,4.8,7.2,18.6,48,51.1,26.6,25.8,1
1432,8.9,4.2,7.1,16.8,46.3,53,17,28,1
1492,8.7,4.4,8,20.9,52.8,51,15.4,31,1
1544,8.1,5,7.8,19.5,52.2,40.3,14.3,34.3,1
1602,9.4,5,7.7,18.8,42.3,32.9,12.9,34.5,1
1664,11.7,5,6.8,18.7,41.9,26.2,13.3,31,1
1717,9,3.9,6.5,16.4,41.2,25.9,12.5,30.3,1
1769,9.1,3.5,6.2,16.2,36.8,13.1,10.1,29.4,1
1829,8.5,3.2,5.9,14,34.2,11,8.8,26.8,0
1882,8.5,3.1,4.7,11.1,26,11,9.1,22.7,0
1941,8.2,3.2,4.4,10.7,22.6,7.9,5.4,19.5,0
1994,8.3,3.2,4,10.8,20.4,3.8,5.3,14.9,0
2051,8,2.4,2.2,5,12,3,5.5,6.3,0
2116,5.3,1.7,2.2,4.3,11.2,2.5,5.6,3.1,0
2178,4.2,1.7,2.2,3.7,10.9,2.9,5.4,3.4,0
2229,1.5,1.3,1.9,3.3,10.7,4.6,4.5,2.9,0
2281,1.7,1.6,1.9,3.4,7.4,4.8,3.2,2.3,0
2332,1.4,1.9,1.7,3.5,6.8,5.9,3.7,2.4,0
2383,1.5,1.8,2.2,5.5,6.3,14.5,7.4,2,0
2437,2.4,1.8,2.3,6.6,11.5,21.6,8.5,5.5,0
2495,3.1,2.3,3.1,7.3,12.6,29.7,8.8,6.9,0
2552,5.2,3.2,3.8,8.2,20,42,16.7,6.8,0
2605,6.2,4.2,5.3,9.1,20.1,43.8,18.3,9.1,0
2664,6.8,4.2,5.4,9.4,20,44.7,18,13.7,1
2716,7.3,5.2,5.7,12.3,21.6,51.1,21,17.4,1
2768,7.3,5.2,6.1,13,24.2,55.4,23.6,17.7,1
2826,8.6,5,6,14.8,28.5,59.5,26.4,25.4,1
2877,9.3,4.8,6.5,15.8,32.9,63.6,28.7,28.4,1
2934,9.1,4.9,6.2,16,36.1,58.2,24.4,30.4,1
2987,8.5,5.2,6.7,14.6,32.6,51,24.1,29.1,1
3045,8.9,4.4,6.2,16.7,36.4,45.4,30,29.5,1
3103,7.1,3.8,6.2,18.1,29.8,33.6,24.1,33.5,1
3160,7.6,3.2,6.2,16.7,29.3,32,25.3,42,1
3212,7.3,3.6,6.5,18.4,29.9,31.2,25.8,38.1,1
3270,6.8,2.6,6.5,15.9,30.4,29.6,25.2,38.8,1
3327,8.7,2.9,6.6,15.8,29.6,24.1,25.2,44.5,1
3390,8.4,3.6,8.4,14.3,31.5,21.1,24.4,41.9,1
3448,8.5,3.7,9.1,13.9,31.4,19,24.1,39.4,1
3500,9.1,3.6,9.2,12,28.6,17.8,24.8,39.8,1
3557,9.5,3.4,8.9,12.6,27.2,19.2,23.8,38.4,1
3610,9.3,4.7,8.6,10.9,22.4,18.1,22.3,36.6,1
3668,10.6,4.3,7.8,9.2,23.1,17.5,20.6,32.7,1
3726,10.2,4.2,6.5,10,23.6,17.2,17.7,22.7,1
3779,10.3,3.9,6.3,8.7,22,17.2,17.6,21.9,1
3837,10.1,3.8,6.1,8.5,21.1,12.7,16,16.9,1
3895,8.8,3.8,5.5,8,18.4,11.9,13,10.9,0
3946,7.7,3,3.5,6.7,11.8,11.4,11.3,6.2,0
4004,6.8,2.6,2.4,6.4,11.1,8.6,8.5,5.7,0
4061,6.4,2.6,2.1,6.3,12.2,7.7,7.8,3.1,0
4113,6.1,2.6,1.7,5.8,11.9,8.9,7.8,2.4,0
4165,5.4,1.5,1.7,5.2,11.9,8,3.5,2.8,0
4223,4.3,1.7,1.5,5,12.4,8.6,3.2,2.8,0
4282,3.3,1.5,1.2,4.2,12.6,8.6,3.4,2,0
4339,3,1.5,1,4.1,13.1,9.2,3,2.3,0
4398,2.9,1.8,0.9,4,12.7,8.7,2.5,2.7,0
