millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
8001,-1,-1,0,105,71,-24,18,56,2
8069,48,5,9,-9,-37,0,-90,8,2
8135,-9,1,10,22,98,19,-16,-15,2
8196,21,-1,-9,-76,-85,-21,-46,5,2
8252,-53,3,1,-12,59,20,33,-101,2
8316,10,4,0,-55,8,5,-8,9,2
8378,26,12,17,-15,46,17,-4,-14,2
8439,-3,0,3,-15,1,3,-11,5,2
8502,-2,-2,-4,7,7,0,-2,2,2
8565,0,0,-3,-6,-16,-2,-4,-1,0
8625,-1,-2,-4,-8,2,-7,0,-2,0
8688,1,-1,-3,1,0,1,-2,-1,0
8751,-2,-1,-2,-1,-1,-1,-2,-2,0
8812,-1,-1,-2,-3,-3,-2,-2,-3,0
8873,-3,1,-2,-1,-3,2,-2,-1,0
8935,0,-2,0,0,34,0,42,6,0
8997,-1,-1,-3,-7,-14,-1,-21,-4,0
9057,-1,-1,-1,-2,-16,-21,-24,7,0
9119,-4,-5,-12,-15,0,4,5,-5,0
9179,0,2,4,-1,0,3,-3,-3,0
9240,1,2,2,7,15,0,-7,-12,0
9300,-1,-1,0,-12,-8,-12,-15,1,0
9363,-2,-3,-2,7,4,-3,18,6,0
9423,-8,2,4,26,-28,6,-7,48,0
9481,-16,-5,0,-17,42,-3,-17,-21,0
9541,-1,4,24,-18,95,14,3,-58,0
9600,10,4,8,-4,-112,-11,-37,8,0
9672,-7,2,9,30,10,-10,-2,65,2
9750,-3,-4,-1,-2,3,-22,-40,-4,2
9827,8,-5,4,40,-18,4,15,16,2
9900,-8,5,11,45,27,27,-33,-19,2
9973,-17,1,9,99,-40,-31,13,-65,2
10035,-1,-2,4,-4,-2,21,15,62,2
10099,-19,1,-6,40,-80,-29,-87,-23,2
10162,0,5,19,80,69,-40,4,-9,2
10217,-26,-8,-11,-14,63,-19,-7,-20,2
10273,-5,0,-4,-18,-24,14,-28,10,2
10331,6,-4,-8,2,57,4,-17,16,2
10413,28,-1,-3,-15,-15,-9,-19,-21,2
10477,0,1,0,-14,19,4,4,-13,2
10535,14,-11,-30,-35,-63,7,10,-39,2
10598,-5,-3,3,28,8,17,-13,-1,2
10665,22,0,0,-8,60,16,-52,-3,2
10731,9,9,3,5,-73,-32,13,-17,2
10795,-4,-5,-15,-69,-100,-17,-22,-6,2
10855,-1,-3,-8,-4,-6,2,2,-4,2
10913,-3,-2,0,-1,3,2,-10,-14,2
10988,-4,-1,-3,-2,-8,-7,-5,-4,0
11070,0,-3,1,6,0,-2,-1,-1,0
11147,-2,-1,-5,-3,-2,-1,-1,0,0
11210,-2,-2,-2,-1,0,0,-1,-1,0
11267,1,-1,-1,-1,-1,-1,-1,-1,0
11326,-2,0,-2,-1,-1,0,0,1,0
11383,-1,-1,1,1,-2,-2,-2,-1,0
11443,-1,-2,0,-4,-1,1,-2,0,0
11501,0,-1,-1,0,-2,-1,2,-2,0
11563,-2,0,0,-2,-2,-1,0,-1,0
11624,0,-1,1,0,-2,-3,-1,0,0
11685,0,0,-2,0,-1,-2,-1,-2,0
11748,-1,-1,-2,0,-1,-2,-1,0,0
11814,-1,0,0,-3,7,1,8,1,0
11878,0,-1,0,1,3,1,0,0,0
11940,-2,-2,-1,2,0,-3,-4,-2,0
