millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
7013,3,3,7,2,25,-1,8,14,1
7065,8,-5,-3,-2,15,-22,15,8,1
7117,23,-1,-1,-1,4,7,-17,15,1
7169,-3,-6,-9,19,-8,40,29,1,1
7227,-12,-6,-2,0,-15,-28,-12,-17,1
7284,3,1,-1,4,17,-45,12,-18,1
7336,4,-7,-10,-4,17,16,10,-17,1
7394,3,9,3,2,-3,-2,-10,6,1
7451,-6,-5,-4,-13,-22,-4,11,1,1
7508,3,0,1,-4,-25,-5,-3,0,1
7561,-1,-2,-1,-4,3,-6,-3,-2,1
7619,-1,-1,0,1,0,4,6,-1,1
7671,1,-2,0,-1,-2,-5,-1,5,1
7730,-1,-3,-1,-1,5,4,0,1,0
7787,-2,1,0,0,-10,-1,2,0,0
7844,-1,0,-2,0,2,6,-3,-3,0
7896,-1,0,1,1,-5,-5,-16,-3,0
7948,0,0,-2,1,5,2,3,1,0
8001,0,-3,-4,-3,1,-35,-30,-8,0
8059,12,4,14,20,-26,-8,-10,11,0
8117,7,-7,-2,20,24,13,-37,12,0
8170,-10,-2,2,-24,-7,-23,2,-16,0
8221,20,15,8,-20,65,70,41,5,0
8280,-12,-11,-6,-25,-76,-128,4,-19,0
8337,29,5,-10,10,62,-39,-47,75,1
8389,0,-8,0,97,44,-16,-7,11,1
8447,11,1,-1,-13,-12,-9,4,15,1
8500,0,-5,-1,44,24,-27,-28,-19,1
8559,17,5,6,-13,-7,83,21,103,1
8615,-9,0,-2,-17,-8,-12,-10,-23,1
8667,21,2,3,-37,-13,-118,-41,42,1
8719,-3,-6,-12,17,32,14,-8,-43,1
8784,-3,4,12,-23,-30,-20,3,-24,1
8841,1,-2,2,21,13,2,-4,13,1
8893,-1,1,3,12,8,34,27,-9,1
8951,-7,-7,-7,30,51,-11,-27,-28,1
9008,5,1,-3,-9,9,-6,25,21,1
9061,5,5,3,-20,-26,-18,-37,3,1
9119,7,-5,-6,12,21,32,45,8,1
9183,-31,5,0,0,-6,-3,-52,11,1
9241,35,4,-3,6,-1,12,5,1,1
9300,3,5,4,21,83,15,9,1,1
9351,-2,-1,-2,-2,8,-4,2,-3,1
9404,1,-1,0,-4,2,-3,2,0,0
9464,2,-2,-1,-4,-7,0,-1,-2,0
9516,-4,-2,0,2,-1,2,-2,-2,0
9569,-1,-3,-1,-3,-11,-2,0,-1,0
9621,-1,-2,0,1,3,0,-1,-1,0
9672,-3,-2,0,-2,-3,-1,-6,-4,0
9731,-2,-1,-1,-4,-1,1,0,-1,0
9788,-2,-1,0,-3,-8,0,0,0,0
9840,-2,-1,-1,-1,3,-1,-1,0,0
9898,-2,1,-1,0,2,-1,-3,-3,0
9950,1,1,-2,0,-3,-1,-2,-1,0
10007,0,-1,-1,-1,1,-1,-2,-2,0
10058,-3,-3,-2,2,-1,-3,0,-1,0
10115,2,-1,-2,-2,-3,-2,-2,-3,0
10172,0,1,0,2,2,1,1,0,0
10229,3,-1,-2,-1,-4,0,0,-3,0
10281,1,-1,-1,-1,0,0,-2,-2,0
10338,-3,0,-2,-2,-8,1,-1,-3,0
10390,0,-1,-3,0,0,-2,-5,-4,0
10447,1,1,-1,-2,1,1,1,1,0
10499,-4,-3,1,-4,-17,-4,-6,-2,0
