millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
6666,-3,-3,3,15,-3,-20,-2,-1,4
6717,-3,3,6,16,27,51,8,-1,4
6772,4,4,10,20,5,-7,1,0,4
6824,-1,5,17,29,-23,-6,-2,-3,4
6880,0,3,-4,-8,-6,-36,-5,1,4
6935,-2,-3,-2,19,9,11,0,1,4
6987,3,11,20,12,-72,-2,-1,2,4
7038,-2,-3,-6,-14,0,-18,1,0,4
7093,0,1,8,-3,19,19,0,-1,4
7146,0,-1,-3,5,-7,-21,-6,-2,4
7202,-2,0,2,8,11,-7,-2,-2,4
7253,2,-1,-2,0,12,6,2,-1,4
7309,0,0,-2,3,16,-1,-1,0,4
7361,-1,-1,-1,1,5,-14,0,-1,4
7412,0,-2,-2,-1,5,-3,-1,-2,4
7469,0,-2,-2,0,1,-1,0,-1,0
7523,3,1,0,-1,-2,-1,-1,-1,0
7576,0,0,0,-1,-1,-1,0,-2,0
7627,-1,2,-1,1,-1,1,-2,0,0
7679,-1,0,1,0,1,-4,-1,-1,0
7734,0,-2,-1,-2,0,-1,-1,-2,0
7786,-1,-1,1,1,0,-1,-3,-1,0
7837,0,0,0,-1,-16,12,-3,-2,0
7892,-1,-5,-5,-26,-12,10,0,-1,0
7945,-3,-1,11,7,-40,3,4,0,0
7999,-1,1,25,42,-30,-25,-1,0,0
8051,0,1,12,35,1,-17,-3,-1,0
8104,5,7,17,45,-22,6,2,1,0
8159,4,8,13,-23,15,-4,-6,-1,0
8210,-1,-5,-8,4,-31,9,1,-2,0
8265,-2,-2,-2,1,8,0,2,-1,0
8316,-3,-5,-6,-1,53,-4,-2,1,0
8368,-4,-11,-34,-78,-16,3,-6,-2,0
8422,0,-4,-3,-17,-34,-1,-1,-5,0
8478,-1,-1,-4,5,30,-2,-3,0,0
8530,0,3,3,5,-3,0,6,4,0
8585,-1,-1,-12,-22,25,-2,-2,2,0
8637,0,5,27,47,-65,-57,-11,-3,4
8691,3,0,-5,-20,3,-23,-1,1,4
8744,-3,-1,2,-20,10,60,4,2,4
8795,-6,-7,-5,1,-10,-26,-6,-2,4
8846,-5,-10,-34,-38,46,4,1,0,4
8899,1,3,13,17,29,8,-3,-2,4
