millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
8087,-66,15,10,6,-9,-1,-19,94,3
8169,-33,-7,-2,-3,-4,-2,-54,-83,3
8230,-5,-3,-2,0,5,-6,-13,-17,3
8288,11,-11,-1,0,8,3,-51,0,3
8347,-14,-3,-1,-1,-9,2,32,5,3
8427,-13,-11,-4,-2,-4,-4,-15,0,3
8503,56,-7,-2,-1,3,7,8,-13,3
8579,-3,-1,0,-1,-4,-3,6,0,3
8645,2,-2,-2,-1,1,3,-6,7,3
8709,2,0,2,-1,3,-4,-7,-4,3
8771,-2,-2,-2,-1,-14,-3,0,0,0
8871,-2,1,3,22,4,3,0,-1,0
8926,0,-3,-1,3,8,4,3,0,0
8982,-1,0,0,-1,26,0,-2,-1,0
9062,-1,-1,-1,-2,-4,-2,-3,0,0
9140,-2,-2,0,2,5,0,0,-4,0
9204,1,0,1,-3,1,-4,-2,-2,0
9266,-1,-1,0,-2,-3,-5,0,0,0
9327,-3,0,1,8,35,3,14,-15,0
9392,-2,-1,0,7,-6,1,10,9,0
9463,-5,-2,3,-2,23,4,-12,-27,0
9533,-4,3,5,6,15,6,49,4,0
9591,4,-6,-9,-8,-10,-8,-20,-13,0
9648,-10,2,-1,-2,1,-2,1,15,0
9725,-42,1,-3,-3,13,8,-23,11,0
9815,-10,-1,-2,-4,-13,-11,-6,-34,0
9877,-43,-7,-2,1,-3,3,26,-15,3
9934,-16,-4,-5,-3,-8,-1,5,-1,3
9992,25,-1,-5,-2,-12,-13,-27,17,3
10072,8,4,6,3,0,11,-9,22,3
10145,-50,-1,0,-3,7,-5,-84,5,3
10199,-5,0,-1,-1,-3,3,7,-9,3
10253,14,6,-2,-1,-5,-7,7,0,3
10307,-5,-6,-5,-1,-3,-7,-7,-22,3
10362,-9,2,1,0,-11,-9,-9,41,3
10423,-19,-5,0,0,4,13,24,16,3
10495,21,12,8,6,17,6,69,65,3
10566,-6,-6,-2,-3,-8,-2,-2,-3,3
10637,-36,-10,-4,-5,-8,-1,-5,-13,3
10712,7,-7,0,0,4,-5,-8,-2,3
10784,2,5,1,2,-1,2,0,-2,3
10842,0,-2,1,-1,-3,-1,3,4,3
10897,-5,-2,3,9,0,-4,-2,-9,3
10955,-1,2,5,-2,5,-3,-2,-2,0
11013,1,1,-3,-26,-13,-15,-1,0,0
11074,-2,-2,-3,-5,10,-8,-3,-4,0
11138,0,1,-3,-4,-7,-7,-1,0,0
11200,-3,-1,-2,1,6,-3,-1,-3,0
11265,0,0,-1,-2,-6,0,-1,0,0
11331,-2,-1,0,-1,-2,-1,-1,-2,0
11395,-1,-1,-3,-2,1,-1,-1,0,0
11463,0,0,2,-1,-3,2,1,1,0
11527,-3,-1,-2,0,-3,-1,-1,-1,0
11592,1,1,-2,-1,1,1,0,0,0
11657,0,0,2,0,1,-2,-1,0,0
11723,0,-2,-3,-1,-3,-2,0,-1,0
11788,-2,-1,-2,-2,1,2,-1,0,0
11853,0,-1,0,-2,1,-3,-2,-2,0
11916,0,1,0,-2,-11,-4,-3,0,0
11978,-1,-1,0,2,4,-1,-1,1,0
