millis,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,gesture
8060,1,-1,1,-3,-5,-4,-30,2,0
8118,-3,-1,-4,-14,-19,-2,3,-4,0
8180,-2,-2,1,5,0,-2,12,1,0
8250,-1,0,0,3,-13,-1,22,1,0
8322,0,0,-2,-21,53,3,0,13,0
8394,9,-3,-5,-20,-8,-11,-19,-2,0
8461,-4,-6,-7,1,12,-15,36,14,0
8525,-20,0,2,9,14,-6,-11,-2,2
8591,7,2,9,25,45,3,-61,3,2
8659,3,-2,-7,-19,-12,-13,-8,-10,2
8720,12,1,0,-23,-5,3,18,16,2
8782,6,-1,-2,-15,9,-2,5,6,2
8846,0,-4,-6,14,-51,2,0,14,2
8908,-2,0,-5,-33,24,-4,39,20,2
8977,5,2,2,13,-6,0,-16,-30,2
9040,0,-3,-4,-19,-25,7,-14,0,2
9102,9,-2,-3,-14,11,2,20,81,2
9166,-2,1,2,18,8,5,-8,-49,2
9233,2,0,1,-4,25,1,21,15,2
9301,0,-2,-3,12,-26,-16,27,18,2
9358,-5,-3,-3,11,-1,-5,15,22,2
9416,0,-1,-4,-24,-34,-10,-22,-27,2
9473,0,-3,-3,13,7,8,-2,-3,2
9551,-2,-2,-5,-11,-25,-1,-2,-7,2
9633,-1,-3,-4,5,-2,4,-1,11,2
9699,0,-1,0,-2,-14,-1,10,10,2
9763,-2,-1,-1,1,-1,-4,-2,0,2
9829,-2,-1,0,1,-4,-3,-1,1,0
9893,5,-1,-2,-2,-3,-3,1,4,0
9946,-4,-1,-2,0,0,-2,-2,-2,0
10000,0,-2,-2,-1,-1,1,0,-2,0
10055,-2,-2,-2,-2,-3,0,0,-1,0
10115,1,-2,-1,-2,-1,1,0,-1,0
10178,0,-1,-1,0,-1,-2,-1,-1,0
10243,0,-1,0,-1,-2,-2,0,-1,0
10307,-1,-2,-2,-3,-1,-2,2,-1,0
10371,-1,-3,0,-3,-2,-1,-1,0,0
10435,-1,-2,0,-2,-2,-3,-3,-1,0
10499,-1,-2,-2,-3,-2,0,-1,-2,0
10563,-1,0,-1,-1,-1,-1,-1,1,0
10627,-1,-1,-1,-4,-3,-3,-3,-1,0
10687,0,-1,0,0,1,0,0,3,0
10748,-1,-3,-1,-3,1,-1,-5,-5,0
10811,-2,-2,-2,-1,0,0,-7,-4,0
10876,0,0,-2,-3,-2,3,2,0,0
10941,-1,-3,0,1,1,0,-4,-3,0
